Ratings,AuthorLocation,Title,Author,ReviewID,Content,Date,class,predicted_class
4.0,"Albuquerque, NM",“A Pretty Nice Place”,Albuquerque_NMGeezer,UR20125958,it isn't a resort & it is a littl old but it isn't price like a resort  the room wa fair size & the bath a littl small  the place is well maintain  breakfast is well abov averag & the afternoon wine & snack are free  staff is abund and attent  our room face the street but i must sleep well as i notic no nois problem  the locat is fairli central but not in walk distanc of anyth  but few place in phoenix are  you are go to drive a lot unless you are stay in a resort & don't leav ,"September 16, 2008",positive,positive
4.0,"Sauk Rapids, MN",“Loved this hotel overall”,Travelwise67,UR15623611,we love thi hotel  we stay there the day we flew in and then the night befor we flew out  it wa close to the airport  the hotel staff wa veri friendli  the room were veri clean  both time  the room were quiet  the pool wa great and quiet both time  love the light palm tree at night  the breakfast buffet wa unbeliev  everyth you could imagin and a wonder ladi take care of it  the 2nd night we stay there we had a king jacuzzi suit  awesom suit  2 bathroom  sink and shower seper by french door  also 2 flat sceen tv and lot of space in each room  the onli complaint i had is that our suit smell like smoke and it wa a non smoke suit  we turn on both air condition to get rid of the smell and it wouldn't go away  i would highli recommend the hotel  great locat  great servic  good valu ,"May 3, 2008",positive,positive
3.0,"Lubbock, TX, USA","“Nice Pool, Old Hotel”",jdcliff,UR15321186,stay here in februari 2008 for three night  it wa central locat for the busi and restaur we frequent while attend a conference; howev it wa not as nice as the pictur lead you to believ  the pool area is nice  but what hotel in phoenix doesn't have a nice pool  all the door for each room are on the outsid  and that lead to high nois level  especi sinc the hotel sit at a busi intersect  our particular room sat right on the road  and it wa noisi all night! the staff wa nice  and allow us to hang out in the breakfast eat area most of the night play some no money poker  i'd rather pay a littl more money  and stay somewher less noisi next time i travel to phoenix!,"April 24, 2008",negative,positive
4.0,"Courtenay, Canada",“Two nights - $40 difference in price”,tripjimbc,UR14692859,we stay here two night  at the begin and end of our trip to arizona  despit book the hotel on line well in advanc i got two differ rate 116 for the first night  152 for the second + tax  i'd say that the first rate is closer to the real valu of the room   we debat look for anoth less expens hotel for the last night and cancel the second reserv but didn't want to go through the hassl  especi sinc we were travel with a babi  what you get for your money   conveni locat close to i51 but not close enough to hear the traffic  easi 30 minut drive to the airport or car rental drop off  good qualiti  clean room  comfort bed  excel breakfast (alreadi describ in detail in other reviews)  good area  we were upgrad on our first night to a two room suit (becaus they were overbooked) which came equip with two washroom (one wheelchair accessible)  flat screen tv  fold out couch bed  veri nice done  onli complaint would be that the view wa the stairwel head up to the second floor and sever mattress that were be stored( ) there  on our second night we had a standard room with a singl king bed   also veri nice (but not worth the extra 40 we paid)  we overlook the pool and the jacuzzi wa run all night  front desk staff were veri help and had good recommend for restaur  you'r within walk distanc (about 1 mile) from sever restaur   tri carlo o'brien'  a crib wa request and a playard wa provid   mattress too hard for a babi to sleep on ,"March 31, 2008",positive,positive
4.0,"Albany, New York",“We always stay here in Phoenix!”,LMomNY,UR11052793,innsuit of phoenix on northern blvd near 16th street is where we alway stay when in the phoenix area  thi time due to a coupon we had receiv from them  we were abl to upgrad to a suit that had a separ bedroom with two doubl bed and a live room with sofa bed  there were two bathroom so the person in the lr could use the bathroom (with full tub/shower) without wake up those in the bedroom  we were there just one night so didn’t have time to take advantag of the small kitchen  or outdoor swim pool  innsuit ha a great free breakfast room  the best we’v seen  with waffl  hot and cold cereal  egg  hashbrown  fruit  yogurt  etc  they also have free comput use for the internet in the lobbi  which is veri handi for those not bring their own laptop  the sofab wa uncomfort for an older adult with arthriti  although it would have been fine for a kid  thi hotel is quiet becaus not next to a freeway  and is conveni from the airport  just take hwi 51 north to northern  close to foothil and park for hike ,"November 25, 2007",positive,positive
4.0,"Nashua, NH","“Pretty Nice, Clean, Convenient”",nashuanh5,UR7546866,"need a place befor we flew home  close to the airport and restaur  breakfast wa ""healthy"" (limited) and the free recept wa a nice touch  pool towel were skimpi  but big deal  take two  nice desk folk  what we expect ","May 5, 2007",positive,positive
3.0,Toronto,“OK for the Price...15 Minutes to Airport”,azahunting,UR7330752,not a bad hotel  but realli short on towel  the pool towel are like face cloth and more than a littl tire  the room wa nice and tidi  but keep your shoe on  the carpet are a littl dirti  nice happi hour and not bad breakfast  hot tub air jet broken pool jet broken but both clean  the area wa nice and safe for out of towner ,"April 11, 2007",negative,positive
1.0,Deerfield MA,“Skip this place”,CindyDeerfieldMA,UR7165706,"we just got back from phoenix where we had stay at thi hotel for four night  normal we stay at hampton inn but want to be in the squaw peak area and thu decid to stay here  right from check in we should have known what to expect  we arriv too earli to check in but sinc we travel veri often we knew it wa possibl to leav your baggag there until check in  while initi the staff wa rude  the gentleman final agre to have us leav our luggag and said it would be in our room when we check back in later  of cours it wa not in the room and we were on the second floor and no elevator! we are in our 60 and thi wa not conveni for either my husband or me  breakfast is bore with the same thing everi day  not like hampton inn that vari the menu  the air condit did not function well  the water in the tub did not drain out so that when take a shower you were up to your knee in water  when we arriv and i ask where one could go to check on e mail  as had been advertis in their list servic avail in the busi center  they told me it wa ""down"" and not expect to be up until monday     thi wa sat  on monday when i check again i wa told still not up until tuesday  one coupl stand at the desk when i ask that question and heard thi  turn on their heal and left as thi wa a businessman who need that servic  veri inconveni  still not up when we left on wednesday  mainten is terribl   lot of evid that the place ha been ""let go""  breakfast area is veri small     as is the pool    and with a tendenc to cater to kids' travel sport team  you are lucki to find a spot to sit  thi is the second time we have encount thi with a best western and will never stay at one again  hampton inn much better  skip thi place     ","March 15, 2007",negative,positive
2.0,"Hayward, California",“Good service but rude desk clerk”,keepcool,UR5926660,"oct  7  2006 i arriv at the hotel and went to the front desk to check in  the desk clerk wa check my inform in the comput and i ask her if there were ani suit avail as i had call the hotel a week befor my arriv and and wa assur that i could upgrad to a suit  she immedi began to yell that if i want an upgrad i would have to pay for it  when i went to my room  i took the aaa tour book back to the desk and show her where it specif state that the reserv could be upgrad if a suit wa avail and it would be free of charg  the same desk clerk start to yell again state that she had told me when i call that i could upgrad for a charg and that wa ""her"" rule  in fact i had spoken to a gentleman when i had call the week befor  i never spoke to a ladi  i ask her whi she wa rais her voic and if thi wa the way she spoke to guest  she complet ignor me and just kept on yell  i ask to speak to the manag and she told me she wa the manag when in fact the manager' name wa clearli display on the wall  she walk away from the desk and the manag came to assist me about 10 min  later  thi incid wa veri humili as other guest were present  i am write thi review becaus thi kind of behavior wa total unaccept and hope no other guest will be treat in thi manner  overal servic wa great and the staff as a whole were veri courteou and help ","October 8, 2006",negative,positive
4.0,"Los Angeles, CA",“Convenient and clean”,glbtrttr,UR5230019,"have stay in a wide rang of hotel   2 star to 5 star so gener i have my expect manag  thi bw wa actual a littl abov expectations; part of that might have to do with the fact that we arriv fairli earli to check in   around noon   and they had a room readi and ""upgraded"" us to a suit on the 7th floor  now  it wa a suit at a best western  but still nice to have the extra space  conveni to downtown although with the light rail construct that' go on in and around the citi  need to plan a littl extra time  plenti of extra park although none of it is cover  so don't leav anyth in your car if you'r there over the summer or it will be cooked! definit also recommend the restaur zen which is a coupl mile north on central ave and recent open  fit center is a bit of a joke  but the pool  although small  wa clean and had ampl seat (loung chair and tables) ","May 28, 2006",positive,positive
5.0,"Minneapolis, MN",“Great place to stay”,Shouldercat,UR4966082,recent renov room are abov averag  especi when you consid the price! bed are veri comfi with pillowtop mattress  complimentari breakfast includ egg and hashbrown  cereal  and toast/bagel  laundri facil make thi a great choic for extend stay  nearbi dreami draw park and aunt chilada' restaur are bonus  great choic for the frugal traveler!,"April 11, 2006",positive,positive
5.0,Redmond WA,“Highly recommend”,skagit46,UR4954250,thi is not a fanci resort  but it ha all the ace and for less than 100 buck dure season  it' an excel valu  bed veri comfort  free internet  attent staff  nice breakfast and littl extra ,"April 9, 2006",positive,positive
5.0,,“Awesome full breakfast every morning!!!!!!”,A TripAdvisor Member,UR4216696,my husband and i stay here for 7 night from nov  11th to nov  18th  2005 in a king suit  the room wa extrem clean in everi way! the maid staff wa sure to keep it spotless and restock everi morn  the room had a microwav  coffemak  hairdryer  bottl water replenish each day  a small fridg  the sheet and pillowcas veri soft and new pillowtop matress wa love  we did our laundri here and took advantag of the vend machin each night for snack  too cold for the pool and hot tub  but we saw family' take advantag  look realli neat & clean  best of all  the breakfast off the lobbi is worth your while not to skip! egg  toast  hash brown  make your own waffl station  yogurt  coffe  cereal  the works! for excel coffe  drive one block into corpor area for specialti shop  ga  great chines food and bank  lobbi ha 3 comput with internet access (bewar the firewal that keep you from check email  had to find barn and nobl to check mine  onli drawback) and a nice fireplac  staff is veri help and friendli  free map at front desk and load of direct help  the pictur on line don't do it justic  much nicer than we expect  highli recommend  don't hesit on thi one!,"December 6, 2005",positive,positive
3.0,edmonton,“Traveling with a toddler”,cridge,UR3539626,"stay at the inn suit begin of may  we were look for a budget hotel and i got an awesom deal on the best western site  (49 00 a night) good points: room wa clean and comfort what you would expect  note: we travel with a 2 year old and there wa no room for a crib/ playpen with the two queen bed  thi prove problemat as she wa in/out of bed!!! therefor keep thi in mind befor you order two queens! good: free breakfast in am   ""you make waffles"" yummi  lot of juic  cereal  and other goodi  unfortun the breakfast room wa small and often cramp  as well you may have to wait for your turn at the waffl cooker  good: staff where polit and offer travel tip  good: first wed of month they have a free bbq (hamburgers) look ok but we skip it  not so good: pool wa not the cleanest   scum around edg of pool  hot tub either bath tub temp  or too hot  also pool is locat around the park lot  therefor not the most relax  privat or scenic  not so good: no place to sit outsid room  there is a littl deck  and pool area but we had to stay close to our room when our daughter wa sleep  we sat on cement rail and were in the way of clean staff  advice: if you are travel with kid  especi young one   stay at a resort with lot of amenities! you do not want to be put kid in/out of hot car tri to find a place to eat or an activ to do  not relaxing! also: avoid temp town lake   not much there! water park at zoo fun choice! lot of shade! avoid at all costs: forgot the name but it is a ""cowboy"" steakhous in the hill of phoenix  they cut off tie and hang them from ceil terribl   50 meal   poor steak   with potato chip  store bought bread and one bowl of bean to share     would i go back to phoenix  ye  with my husband (mayb with an older more independ child that could play at pool by herself) and a lot of    to enjoy shop which is veri veri ritz and to have spa treatment ect ","June 8, 2005",negative,positive
1.0,"New York, NY",“Terrible Hotel”,A TripAdvisor Member,UR3335930,there were not park lot avail for hotel guest  the hotel should have inform us that they are have construct work done on the premis  the construct work permit us to find park space  the construct nois start by 6:30 in the morn  both phone in the hotel room do not work  the carpet look dirti ,"April 5, 2005",negative,positive
4.0,"Colfax, CA",“Will stay here again”,LEckman,UR3317880,"it' not delux accomod  but it' just fine  i'v stay in 3 star hotel that were wors  the thing i like is that it had all the amen i wanted: high speed internet access in your room at no cost  free breakfast (and a veri good one   not just the typic ""continental"")  fax servic (n/c)  nice pool and spa  good locat  and two drink (beer  wine  soda) everi afternoon   again n/c  the bed wa great  quiet  m/w and fridg in the room  for the price  it' a great deal  i will stay here again ","April 1, 2005",positive,positive
